date,iso3166-2,region_code,confirmed_addition,deceased_addition,population,cases_pc,deaths_pc,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
2020-03-10,DE-SL,Saarland,2,0,990509,2.0191638844270977e-06,0.0,95.894018,1124.661674,2340942.081522,7.304755,0.016344,6.081522,8.058809
2020-03-10,DE-SN,Sachsen,22,0,4077937,5.394884717444139e-06,0.0,83.899188,503030.153782,2336718.568867,5.357809000000032,0.007463,5.658744,6.427147
2020-03-10,DE-ST,Sachsen-Anhalt,6,0,2208321,2.7169963062435215e-06,0.0,84.637607,134273.019819,2377943.190235,7.014332000000024,0.007103,5.099669,5.927945
2020-03-10,DE-SH,Schleswig-Holstein,7,0,2896712,2.4165329518433313e-06,0.0,92.717842,286697.883249,2391074.868186,7.44199900000001,0.011639,4.187668,6.964529
2020-03-10,DE-TH,Thüringen,9,0,2143145,4.199435875780687e-06,0.0,87.065971,31578.781485,2316708.961941,5.628510000000006,0.007982,5.274025,6.925993
2020-03-11,DE-BW,Baden-Württemberg,147,5,11069533,1.3279693009632837e-05,4.516902384228856e-07,77.62086,2278969.036368,2306089.307603,11.355273000000011,0.001185,8.397042,6.700581
2020-03-11,DE-BY,Bayern,120,1,13076721,9.176612393886816e-06,7.64717699490568e-08,80.203185,1332159.403931,2285461.967803,10.599566000000038,0.002978,6.284916,6.418209
2020-03-11,DE-BE,Berlin,42,0,3644826,1.1523183822766848e-05,0.0,74.464715,4164214.405594,2404245.152098,9.840934000000004,0.002141,9.587413,5.811131
2020-03-11,DE-BB,Brandenburg,8,0,2511917,3.184818606665746e-06,0.0,75.270234,3960080.887616,2399572.965039,9.535521000000017,0.002622,8.289229,5.314865
2020-03-11,DE-HB,Bremen,11,0,682986,1.6105747409170906e-05,0.0,73.208226,4714291.833333,2412781.160256,10.122160000000008,0.001566,9.730769,6.286645
2020-03-11,DE-HH,Hamburg,30,0,1841179,1.629390732785894e-05,0.0,70.270992,5485565.856061,2406263.270833,9.697797000000037,0.000489,10.0,6.035322
2020-03-11,DE-HE,Hessen,37,0,6265809,5.905063496190196e-06,0.0,87.277074,122230.932794,2342104.667469,11.089433000000042,0.009539,5.385698,6.171835
2020-03-11,DE-MV,Mecklenburg-Vorpommern,8,0,1609675,4.969947349620265e-06,0.0,70.930371,5739550.012953,2402048.612542,8.703078000000005,0.000487,8.909784,6.421651
2020-03-11,DE-NI,Niedersachsen,62,0,7982448,7.76704088770763e-06,0.0,76.418353,3520863.418243,2398058.768092,9.923927000000049,0.003256,8.039924,5.348492
2020-03-11,DE-NW,Nordrhein-Westfalen,202,3,17932651,1.1264369110847025e-05,1.6729261055713402e-07,88.480044,728323.967668,2374439.382691,10.680594000000042,0.011248,5.582375,5.345923
2020-03-11,DE-RP,Rheinland-Pfalz,29,0,4084844,7.099414322799108e-06,0.0,84.46074,311972.429636,2342824.214399,11.97825400000005,0.003489,6.528758,7.216301
2020-03-11,DE-SL,Saarland,10,0,990509,1.0095819422135487e-05,0.0,84.941111,843446.009171,2348537.006114,11.970234000000005,0.002419,6.88587,8.30214
2020-03-11,DE-SN,Sachsen,16,0,4077937,3.923552521777556e-06,0.0,87.442671,904013.900076,2341010.671053,9.152189000000021,0.012122,5.266978,5.173978
2020-03-11,DE-ST,Sachsen-Anhalt,14,1,2208321,6.339658047901551e-06,4.5283271770725363e-07,77.79656,2533591.139022,2386600.432604,10.152467000000001,0.004214,6.266274,4.850674
2020-03-11,DE-SH,Schleswig-Holstein,19,0,2896712,6.5591608692890424e-06,0.0,76.129516,7022231.570375,2405885.679848,8.479259000000013,0.000574,9.253351,6.818703
2020-03-11,DE-TH,Thüringen,1,0,2143145,4.666039861978541e-07,0.0,90.044997,294342.600709,2323512.205281,9.60886400000004,0.013413,5.285442,5.312778
