date,iso3166-2,region_code,confirmed_addition,population,cases_pc,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
2020-07-13,SE-T,Örebro,7,304805,2.2965502534407243e-05,65.470779,16035276.761386,2397821.046665,15.211005,0.000441,35.450289,2.195841
2020-07-12,SE-T,Örebro,2,304805,6.561572152687784e-06,68.642301,16389033.43297,2397400.985247,14.137241000000017,0.00095,36.284157,2.690771
2020-07-11,SE-T,Örebro,3,304805,9.842358229031676e-06,81.119335,8936630.93746,2385297.983804,13.114176000000043,0.007067,30.652341,2.06862
2020-07-10,SE-T,Örebro,11,304805,3.608864683978281e-05,73.828522,13357391.534317,2377921.217126,13.700694999999996,0.009294,35.416934,1.789726
2020-07-09,SE-T,Örebro,6,304805,1.968471645806335e-05,65.088588,18550798.775497,2382754.118987,13.771804000000031,0.000871,38.081462,1.984488
2020-07-08,SE-T,Örebro,11,304805,3.608864683978281e-05,75.564972,12064485.351507,2371196.572162,11.033855000000017,0.002634,27.518922,2.490873
2020-07-07,SE-T,Örebro,7,304805,2.2965502534407243e-05,66.8517,17043518.532393,2366967.911482,12.698791000000028,0.001506,37.267479,3.727266
2020-07-06,SE-T,Örebro,7,304805,2.2965502534407243e-05,76.773161,9692353.997114,2339881.807729,12.96795400000002,0.005822,24.039128,5.680735
2020-07-05,SE-T,Örebro,0,304805,0.0,85.860864,2084559.753768,2345099.567832,13.946551999999997,0.016508,18.6966,4.479001
2020-07-04,SE-T,Örebro,16,304805,5.249257722150227e-05,81.439571,5133463.689384,2364857.067832,13.674674000000039,0.006779,21.869147,1.892554
2020-07-03,SE-T,Örebro,6,304805,1.968471645806335e-05,63.45697,13368705.323284,2374766.125561,13.834313000000009,0.000478,38.649134,4.089988
2020-07-02,SE-T,Örebro,19,304805,6.233493545053395e-05,74.067559,13459765.294419,2362007.909878,14.243128000000013,0.00476,34.427197,3.473252
2020-07-01,SE-T,Örebro,8,304805,2.6246288610751135e-05,76.179719,9910374.559012,2350242.057088,14.43267400000002,0.005808,26.330981,2.467072
2020-06-30,SE-T,Örebro,14,304805,4.5931005068814486e-05,79.402693,6078063.261706,2346697.615298,14.815210000000036,0.00904,27.836434,3.213925
2020-06-29,SE-T,Örebro,3,304805,9.842358229031676e-06,66.997907,14834730.239256,2374242.305805,17.682428000000016,0.001087,37.7678,2.80271
2020-06-28,SE-T,Örebro,4,304805,1.3123144305375567e-05,74.291268,9029987.632136,2379584.830981,20.61478100000005,0.013211,35.023092,2.558258
2020-06-27,SE-T,Örebro,6,304805,1.968471645806335e-05,52.391491,17642224.183451,2388448.469371,23.48924100000005,9.6e-05,39.182168,2.135683
2020-06-26,SE-T,Örebro,16,304805,5.249257722150227e-05,51.417704,17649369.171264,2405935.652822,23.506762000000037,1.2e-05,39.386786,1.492615
2020-06-25,SE-T,Örebro,27,304805,8.858122406128508e-05,55.782884,23051763.311097,2420251.129891,23.19294100000002,0.0,39.57152,1.835784
2020-06-24,SE-T,Örebro,8,304805,2.6246288610751135e-05,57.195646,23373211.31238,2421199.032713,21.83529500000003,0.0,39.722258,2.062487
2020-06-23,SE-T,Örebro,19,304805,6.233493545053395e-05,63.771228,19902824.549711,2411333.488775,19.26779700000003,2.6e-05,39.774856,1.909098
2020-06-22,SE-T,Örebro,8,304805,2.6246288610751135e-05,71.708146,3956534.560776,2402413.150738,15.390459000000021,0.004453,27.983323,1.990622
2020-06-21,SE-T,Örebro,5,304805,1.640393038171946e-05,51.484544,21450172.45542,2405864.796344,19.776651000000015,4e-06,38.992303,3.778376
2020-06-20,SE-T,Örebro,1,304805,3.280786076343892e-06,65.387946,18337995.679923,2402539.400096,20.499727000000007,0.000259,35.88839,4.102488
